pos,0,5,10,15,20,25,30,35,40,45,50
0,0.5200033,0.517259627,0.509200081,0.49631817,0.479370456,0.459289934,0.43708666,0.413751767,0.390178566,0.367109304,0.345109873
30,0.5200033,0.517259627,0.509200081,0.49631817,0.479370456,0.459289934,0.43708666,0.413751767,0.390178566,0.367109304,0.345109873
60,0.5200033,0.517259627,0.509200081,0.49631817,0.479370456,0.459289934,0.43708666,0.413751767,0.390178566,0.367109304,0.345109873
90,0.5200033,0.517259627,0.509200081,0.49631817,0.479370456,0.459289934,0.43708666,0.413751767,0.390178566,0.367109304,0.345109873
120,0.5200033,0.517259627,0.509200081,0.49631817,0.479370456,0.459289934,0.43708666,0.413751767,0.390178566,0.367109304,0.345109873
150,0.5200033,0.517259627,0.509200081,0.49631817,0.479370456,0.459289934,0.43708666,0.413751767,0.390178566,0.367109304,0.345109873
180,0.5200033,0.517259627,0.509200081,0.49631817,0.479370456,0.459289934,0.43708666,0.413751767,0.390178566,0.367109304,0.345109873
210,0.5200033,0.517259627,0.509200081,0.49631817,0.479370456,0.459289934,0.43708666,0.413751767,0.390178566,0.367109304,0.345109873
240,0.5200033,0.517259627,0.509200081,0.49631817,0.479370456,0.459289934,0.43708666,0.413751767,0.390178566,0.367109304,0.345109873
270,0.5200033,0.517259627,0.509200081,0.49631817,0.479370456,0.459289934,0.43708666,0.413751767,0.390178566,0.367109304,0.345109873
300,0.5200033,0.517259627,0.509200081,0.49631817,0.479370456,0.459289934,0.43708666,0.413751767,0.390178566,0.367109304,0.345109873
330,0.5200033,0.517259627,0.509200081,0.49631817,0.479370456,0.459289934,0.43708666,0.413751767,0.390178566,0.367109304,0.345109873
360,0.5200033,0.517259627,0.509200081,0.49631817,0.479370456,0.459289934,0.43708666,0.413751767,0.390178566,0.367109304,0.345109873
