pos,0,5,10,15,20,25,30,35,40,45,50
0,0.022187086,0.021994353,0.02142905,0.020528229,0.019348502,0.017959301,0.01643519,0.014848505,0.013263397,0.011731945,0.010292487
30,0.022187086,0.021994353,0.02142905,0.020528229,0.019348502,0.017959301,0.01643519,0.014848505,0.013263397,0.011731945,0.010292487
60,0.022187086,0.021994353,0.02142905,0.020528229,0.019348502,0.017959301,0.01643519,0.014848505,0.013263397,0.011731945,0.010292487
90,0.022187086,0.021994353,0.02142905,0.020528229,0.019348502,0.017959301,0.01643519,0.014848505,0.013263397,0.011731945,0.010292487
120,0.022187086,0.021994353,0.02142905,0.020528229,0.019348502,0.017959301,0.01643519,0.014848505,0.013263397,0.011731945,0.010292487
150,0.022187086,0.021994353,0.02142905,0.020528229,0.019348502,0.017959301,0.01643519,0.014848505,0.013263397,0.011731945,0.010292487
180,0.022187086,0.021994353,0.02142905,0.020528229,0.019348502,0.017959301,0.01643519,0.014848505,0.013263397,0.011731945,0.010292487
210,0.022187086,0.021994353,0.02142905,0.020528229,0.019348502,0.017959301,0.01643519,0.014848505,0.013263397,0.011731945,0.010292487
240,0.022187086,0.021994353,0.02142905,0.020528229,0.019348502,0.017959301,0.01643519,0.014848505,0.013263397,0.011731945,0.010292487
270,0.022187086,0.021994353,0.02142905,0.020528229,0.019348502,0.017959301,0.01643519,0.014848505,0.013263397,0.011731945,0.010292487
300,0.022187086,0.021994353,0.02142905,0.020528229,0.019348502,0.017959301,0.01643519,0.014848505,0.013263397,0.011731945,0.010292487
330,0.022187086,0.021994353,0.02142905,0.020528229,0.019348502,0.017959301,0.01643519,0.014848505,0.013263397,0.011731945,0.010292487
360,0.022187086,0.021994353,0.02142905,0.020528229,0.019348502,0.017959301,0.01643519,0.014848505,0.013263397,0.011731945,0.010292487
