pos,0,5,10,15,20,25,30,35,40,45,50
0,0.217143307,0.214373081,0.205698543,0.189660438,0.133698545,0.07152965,0.067937967,0.061696612,0.055791045,0.050642141,0.046234083
30,0.217143307,0.214373081,0.205698543,0.189660438,0.133698545,0.07152965,0.067937967,0.061696612,0.055791045,0.050642141,0.046234083
60,0.217143307,0.214373081,0.205698543,0.189660438,0.133698545,0.07152965,0.067937967,0.061696612,0.055791045,0.050642141,0.046234083
90,0.217143307,0.214373081,0.205698543,0.189660438,0.133698545,0.07152965,0.067937967,0.061696612,0.055791045,0.050642141,0.046234083
120,0.217143307,0.214373081,0.205698543,0.189660438,0.133698545,0.07152965,0.067937967,0.061696612,0.055791045,0.050642141,0.046234083
150,0.217143307,0.214373081,0.205698543,0.189660438,0.133698545,0.07152965,0.067937967,0.061696612,0.055791045,0.050642141,0.046234083
180,0.217143307,0.214373081,0.205698543,0.189660438,0.133698545,0.07152965,0.067937967,0.061696612,0.055791045,0.050642141,0.046234083
210,0.217143307,0.214373081,0.205698543,0.189660438,0.133698545,0.07152965,0.067937967,0.061696612,0.055791045,0.050642141,0.046234083
240,0.217143307,0.214373081,0.205698543,0.189660438,0.133698545,0.07152965,0.067937967,0.061696612,0.055791045,0.050642141,0.046234083
270,0.217143307,0.214373081,0.205698543,0.189660438,0.133698545,0.07152965,0.067937967,0.061696612,0.055791045,0.050642141,0.046234083
300,0.217143307,0.214373081,0.205698543,0.189660438,0.133698545,0.07152965,0.067937967,0.061696612,0.055791045,0.050642141,0.046234083
330,0.217143307,0.214373081,0.205698543,0.189660438,0.133698545,0.07152965,0.067937967,0.061696612,0.055791045,0.050642141,0.046234083
360,0.217143307,0.214373081,0.205698543,0.189660438,0.133698545,0.07152965,0.067937967,0.061696612,0.055791045,0.050642141,0.046234083
